Ticker,Name,Price,Dividend Yield,Market Cap ($M),P/E Ratio,Payout Ratio
SYMC,Symantec Corporation,$21.74 ,1.40%,"$13,806 ",27.5,38.20%
SYZ.V,Sylogist Ltd.,$13.26 ,2.70%,$299 ,28.2,76.50%
TACT,TransAct Technologies Incorporated,$10.63 ,3.40%,$79 ,15.2,51.30%
TAIT,Taitron Components Incorporated,$1.79 ,6.80%,$10 ,,
TCEHY,Tencent Holdings Limited,$35.53 ,0.30%,"$347,457 ",26.1,7.80%
TCS.TO,Tecsys Inc.,$13.07 ,1.50%,$167 ,43.6,65.40%
TCTZF,Tencent Holdings Limited,$35.68 ,0.00%,"$348,635 ",26.3,0.00%
TCYSF,Tecsys Inc.,$10.85 ,1.40%,$135 ,49.3,70.50%
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$75.09 ,2.40%,"$25,525 ",13.7,32.30%
TER,Teradyne Inc.,$35.96 ,1.00%,"$6,324 ",16.3,16.60%
TESS,TESSCO Technologies Incorporated,$11.10 ,7.20%,$94 ,25.8,186.00%
TMICF,Trend Micro Incorporated,$58.98 ,2.10%,"$7,795 ",34.6,73.30%
TOELF,Tokyo Electron Limited,$129.48 ,4.70%,"$20,044 ",9.4,44.20%
TRUHF,TRULY INTL HLDGS,$0.15 ,0.00%,$,,
TRUHY,Truly International Holdings Limited,$3.13 ,0.00%,$504 ,13,0.00%
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$36.51 ,3.70%,"$184,832 ",16.2,59.40%
TSYHF,TravelSky Technology Limited,$2.41 ,0.00%,"$7,425 ",20.1,0.00%
TSYHY,TravelSky Technology Limited,$24.33 ,1.50%,"$7,429 ",19.5,29.80%
TTCNF,Telit Communications PLC,$1.75 ,0.00%,$232 ,-3.8,0.00%
TTDKF,TDK Corporation,$77.50 ,1.50%,"$8,719 ",14.6,21.20%
TXN,Texas Instruments Incorporated,$96.97 ,3.20%,"$93,019 ",18.5,58.70%
TYPE,Monotype Imaging Holdings Inc.,$17.01 ,2.80%,$701 ,21,57.80%
UMC,United Microelectronics Corporation (NEW),$1.76 ,6.70%,"$4,224 ",,
VCM.TO,Vecima Networks Inc.,$8.35 ,2.60%,$188 ,104.4,273.50%
VNWTF,Vecima Networks Inc.,$6.96 ,2.40%,$143 ,116,278.40%
VSH,Vishay Intertechnology Inc.,$19.33 ,1.80%,"$2,733 ",10.1,18.20%
VTKLF,Vtech Holdings Limited,$11.46 ,6.10%,"$2,613 ",14.9,90.90%
VTKLY,Vtech Holdings Limited,$10.03 ,3.30%,"$2,500 ",13.1,42.70%
WCAGY,Wirecard AG,$73.33 ,0.10%,"$18,657 ",45.5,5.50%
